lambda,strategy,error,pnl,cost
0.0005,bellman_dp_costs_adaptive,-2.5516309938085024,-2.5516309938085024,0.10381677555343187
0.0005,bellman_dp_costs_adaptive,0.43148740415307785,0.43148740415307785,0.06939008112096422
0.0005,bellman_dp_costs_adaptive,-1.9992137070598943,-1.9992137070598943,0.045780508578159865
0.0005,bellman_dp_costs_adaptive,1.384234127622392,1.384234127622392,0.045826890436215406
0.0005,bellman_dp_costs_adaptive,1.1393183061290983,1.1393183061290983,0.06414595956888741
0.0005,bellman_dp_costs_adaptive,-0.2095655928203186,-0.2095655928203186,0.11612703638188038
0.0005,bellman_dp_costs_adaptive,-1.2254452167796899,-1.2254452167796899,0.06386421798340151
0.0005,bellman_dp_costs_adaptive,-6.095604475320384,-6.095604475320384,0.08954314276143369
0.0005,bellman_dp_costs_adaptive,6.975695205320257,6.975695205320257,0.07941238421143473
0.0005,bellman_dp_costs_adaptive,5.7192003286373705,5.7192003286373705,0.07351484735314034
0.0005,bellman_dp_costs_adaptive,-3.2753663149356527,-3.2753663149356527,0.08722266405114375
